customer_name,customer_email,amount_inr,transaction_type,error_code,attempt_number,contact_count_48h,mandate_window_end,timestamp
Shreya Bhatt,shreya.b@ahmedabadlogistics.com,5739.95,subscription_renewal,insufficient_funds,1,0,2026-08-26T20:50:35.847596,2026-08-27 00:50:35
Nikhil Bansal,nikhil.bansal@mumbaicorp.in,7566.34,subscription_renewal,bank_timeout,1,1,2026-09-04T13:50:35.847596,2026-08-26 17:50:35
Riya Nair,riya.nair@hotmail.com,1177.22,subscription_renewal,card_expired,1,1,2026-09-04T13:50:35.847596,2026-08-26 17:50:35
Aditya Joshi,aditya.j@bytemail.com,6044.89,overdue_invoice,bank_timeout,2,0,,2026-08-27 11:50:35
Kavya Nambiar,kavya.nambiar@startup.co,14802.13,checkout_abandoned,bank_timeout,1,0,,2026-08-27 04:50:35
Harsh Vardhan,harsh.v@jaipurcrafts.in,18100.15,subscription_renewal,insufficient_funds,3,1,2026-08-29T13:50:35.847596,2026-08-26 19:50:35
Ananya Iyer,ananya.iyer@gmail.com,5939.98,checkout_abandoned,mandate_declined,5,0,,2026-08-22 13:50:35
Pooja Hegde,pooja.h@blr-retail.co,9350.88,subscription_renewal,insufficient_funds,4,1,2026-08-30T13:50:35.847596,2026-08-23 13:50:35
Nikhil Bansal,nikhil.bansal@mumbaicorp.in,12316.75,checkout_abandoned,checkout_dropoff,2,0,,2026-08-26 10:50:35
Devendra Choudhury,dev.choudhury@gmail.com,9287.35,subscription_renewal,mandate_declined,2,1,2026-08-31T13:50:35.847596,2026-08-26 05:50:35
Meera Krishnan,meera.k@chennaitech.com,3034.68,subscription_renewal,insufficient_funds,1,1,2026-09-04T13:50:35.847596,2026-08-27 10:50:35
Harsh Vardhan,harsh.v@jaipurcrafts.in,2126.97,checkout_abandoned,bank_timeout,5,0,,2026-08-25 13:50:35
Karan Oberoi,karan@oberoiholdings.in,15347.89,subscription_renewal,insufficient_funds,3,1,2026-08-29T13:50:35.847596,2026-08-25 06:50:35
Sneha Reddy,sneha.reddy@techfirm.io,5016.46,subscription_renewal,card_expired,1,1,2026-09-05T13:50:35.847596,2026-08-27 07:50:35
Nikhil Bansal,nikhil.bansal@mumbaicorp.in,11857.48,subscription_renewal,card_expired,1,2,2026-08-31T13:50:35.847596,2026-08-25 06:50:35
Vikram Singh,vikram.singh@corporate.in,14793.44,overdue_invoice,insufficient_funds,1,0,,2026-08-26 18:50:35
Arjun Gupta,arjun.gupta@fintech.in,50000.0,overdue_invoice,invoice_overdue,1,0,,2026-08-25 12:50:35
Meera Krishnan,meera.k@chennaitech.com,72000.0,overdue_invoice,invoice_overdue,1,0,,2026-08-25 07:50:35
Karan Oberoi,karan@oberoiholdings.in,15674.12,checkout_abandoned,mandate_declined,5,0,,2026-08-23 13:50:35
Tanvi Saxena,tanvi.s@cloudscale.io,5746.05,checkout_abandoned,bank_timeout,1,0,,2026-08-26 23:50:35
